                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 0.6701,                0.53591,                 1.1926,                0.93327,                0.97898,                0.97123,                 0.8356,                  0.562,                0.39929,                 1.1315,               0.001387,               0.001387,               0.001387
                     89,                0.67742,                0.55598,                 1.2052,                0.97467,                0.98189,                0.99358,                0.86174,                0.56725,                  0.398,                 1.1333,               0.001288,               0.001288,               0.001288
                     90,                0.59388,                 0.5079,                 1.1468,                0.93854,                0.98612,                0.98477,                0.85139,                0.58448,                0.39942,                 1.1428,               0.001189,               0.001189,               0.001189
                     91,                0.58951,                0.50074,                 1.1563,                0.94674,                0.97757,                0.99187,                 0.8472,                0.56665,                0.39394,                 1.1404,                0.00109,                0.00109,                0.00109
                     92,                0.56956,                0.48337,                 1.1272,                0.94181,                0.97821,                0.97037,                0.83177,                 0.5867,                0.40151,                 1.1477,               0.000991,               0.000991,               0.000991
                     93,                0.55699,                0.47151,                 1.1309,                0.96772,                0.97925,                0.99136,                0.85726,                0.56104,                 0.3826,                 1.1346,               0.000892,               0.000892,               0.000892
                     94,                0.56788,                0.48035,                 1.1441,                0.91973,                0.98614,                0.98483,                0.85545,                0.57341,                0.38475,                 1.1446,               0.000793,               0.000793,               0.000793
                     95,                0.55839,                0.47087,                 1.1392,                0.95359,                0.98031,                0.99258,                0.85787,                0.56377,                0.38123,                 1.1386,               0.000694,               0.000694,               0.000694
                     96,                0.55662,                0.45912,                 1.1293,                0.96738,                0.98393,                0.99179,                0.86231,                 0.5619,                0.37848,                 1.1353,               0.000595,               0.000595,               0.000595
                     97,                0.54374,                0.45595,                 1.1228,                0.96549,                0.98442,                0.99268,                0.86733,                0.55244,                0.37623,                 1.1301,               0.000496,               0.000496,               0.000496
                     98,                0.55727,                0.46158,                  1.123,                0.96004,                0.98101,                0.99262,                0.86361,                0.54476,                0.37583,                 1.1237,               0.000397,               0.000397,               0.000397
                     99,                  0.548,                 0.4473,                 1.1127,                 0.9545,                 0.9904,                0.99284,                0.86728,                0.54106,                 0.3702,                 1.1186,               0.000298,               0.000298,               0.000298
